"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
2682,101111,"CAR",88523,"Enterpreneurial Activities","1",3850,1040,6140,11130,6000,3029,5148,49745,49745,"Male",38,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",7,1,4,2,"Single house",35,5,1,0,0,1,0
2683,318464,"III - Central Luzon",163494,"Wage/Salaries","0",31850,0,7130,75978,36000,46274,20022,0,72000,"Male",42,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,0,2,1,"Single house",40,20,3,1,0,5,0
2684,462588,"Caraga",190807,"Other sources of Income","0",25029,624,9168,100494,66000,118618,41258,0,0,"Male",46,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,1,"Single house",140,48,8,1,0,3,1
2685,125580,"II - Cagayan Valley",63265,"Wage/Salaries","1",9520,4695,640,22308,13500,18166,7676,29257,29257,"Male",43,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,1,1,"Single house",42,16,2,1,0,2,0
2686,121235,"VII - Central Visayas",43164,"Other sources of Income","0",4300,860,180,12264,6600,5029,4884,6580,9530,"Male",50,"Married","Program Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,0,"Single house",42,15,2,1,0,2,0
2687,166931,"IVA - CALABARZON",76386,"Wage/Salaries","0",20960,1440,2850,28956,15000,27808,14664,14640,14640,"Male",43,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,1,"Single house",55,13,2,1,0,4,0
2688,242170,"XII - SOCCSKSARGEN",83656,"Other sources of Income","0",15360,3780,5190,10320,6000,15868,13568,0,0,"Male",81,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,1,1,0,"Single house",84,36,2,1,0,1,0
2689,43823,"VI - Western Visayas",23552,"Other sources of Income","0",1480,2240,1380,5466,1800,2005,4074,0,2020,"Male",59,"Married","No Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",11,1,0,0,0,0,0
2690,69847,"I - Ilocos Region",28864,"Wage/Salaries","0",0,0,410,29058,15000,2199,1536,0,0,"Male",63,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",180,7,0,1,0,1,0
2691,241500,"IVA - CALABARZON",96956,"Other sources of Income","0",20420,0,2260,62634,0,69302,17640,0,0,"Male",30,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",4,1,0,0,"Duplex",60,23,2,1,0,3,1
2692,480000,"NCR",116083,"Wage/Salaries","2",38720,0,19200,129960,0,123335,36174,0,0,"Male",56,"Married","Program Studies","With Job/Business","Secondary Sector","Worked for private establishment",3,0,1,1,"Multi-unit residential",100,25,2,1,0,3,0
2693,437966,"VII - Central Visayas",200463,"Enterpreneurial Activities","0",41220,900,12523,73266,45000,40337,32604,0,208860,"Male",42,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",7,1,1,1,"Single house",72,20,4,1,0,6,1
2694,262850,"III - Central Luzon",105049,"Other sources of Income","0",15594,234,2495,52086,21000,21553,98146,0,0,"Female",69,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",7,0,3,1,"Single house",100,42,3,1,0,2,0
2695,358708,"III - Central Luzon",123553,"Enterpreneurial Activities","0",7510,2658,3200,40116,24000,35876,16042,0,230648,"Male",70,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",7,0,3,2,"Single house",100,0,2,1,0,4,2
2696,166206,"NCR",97254,"Wage/Salaries","2",25960,7605,950,27180,6000,4116,10552,0,0,"Male",47,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",5,1,2,1,"Single house",15,24,0,1,0,3,0
2697,92688,"VII - Central Visayas",87354,"Enterpreneurial Activities","0",49457,0,990,17568,12000,3152,3480,0,65370,"Male",47,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",48,15,1,1,0,1,0
2698,139995,"II - Cagayan Valley",34752,"Other sources of Income","0",300,2772,8915,23514,19800,13306,4668,0,0,"Male",49,"Single","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,2,1,"Single house",96,45,3,1,0,0,1
2699,176300,"NCR",118791,"Wage/Salaries","2",24845,630,970,49380,33000,23443,9184,0,0,"Male",37,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",6,4,0,1,"Duplex",25,23,1,1,0,1,0
2700,210105,"Caraga",72019,"Wage/Salaries","0",3693,6200,4328,15378,12000,14036,11518,0,0,"Male",56,"Married","No Studies","No Job/Business","No Occupation","Unemployed",7,1,0,3,"Single house",100,15,3,1,0,4,1
2701,416448,"IX - Zasmboanga Peninsula",168224,"Other sources of Income","0",35030,65,31020,12414,4800,75672,42586,0,0,"Female",43,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",5,0,1,1,"Single house",72,20,2,1,0,5,1
2702,93443,"VIII - Eastern Visayas",55863,"Other sources of Income","0",1100,1506,2645,12720,2400,4966,5226,18506,27560,"Female",72,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",6,1,2,1,"Single house",22,19,2,1,0,2,0
2703,369202,"III - Central Luzon",51091,"Other sources of Income","0",6500,37298,7170,84360,66000,63792,8700,0,0,"Male",54,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,0,1,"Single house",50,27,3,1,0,3,0
2704,57656,"XI - Davao Region",27254,"Other sources of Income","0",0,0,200,17160,12000,2870,2646,0,0,"Female",68,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",48,35,2,1,0,1,0
2705,203991,"CAR",57371,"Other sources of Income","0",9525,0,6055,33090,21000,78380,4552,0,0,"Male",39,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,2,"Single house",25,65,2,1,0,1,1
2706,437392,"III - Central Luzon",119808,"Wage/Salaries","0",33684,2472,9420,67884,24000,39221,66002,0,0,"Male",50,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,4,"Single house",80,23,3,1,0,3,1
2707,431536,"XI - Davao Region",87062,"Enterpreneurial Activities","0",2210,462,9010,95640,72000,59187,32266,0,217870,"Male",51,"Married","Program Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",4,0,0,2,"Single house",67,23,3,1,2,4,1
2708,124240," ARMM",70746,"Enterpreneurial Activities","1",8660,2340,5244,10680,6000,14452,4938,90942,90942,"Male",57,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,0,0,"Single house",65,31,2,1,0,1,1
2709,250240,"II - Cagayan Valley",76920,"Other sources of Income","0",14230,0,4960,75480,51000,14178,12706,35200,90040,"Female",37,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,2,0,"Single house",64,23,3,1,0,3,1
2710,333340,"IVA - CALABARZON",185043,"Wage/Salaries","0",100040,930,1940,36828,21000,21865,12860,0,0,"Male",68,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",8,0,3,4,"Single house",30,32,2,1,0,2,0
2711,265992,"VII - Central Visayas",92691,"Enterpreneurial Activities","0",7592,2080,2300,17400,12000,24711,16570,26770,141172,"Female",26,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",8,2,2,1,"Single house",20,15,1,1,0,1,0
2712,81661,"XII - SOCCSKSARGEN",42899,"Wage/Salaries","0",720,0,1000,10830,4800,9995,2396,14830,29830,"Male",34,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,1,0,1,"Single house",23,4,2,1,0,1,0
2713,67708,"VI - Western Visayas",42443,"Wage/Salaries","1",2260,2742,920,9192,6000,5469,4882,0,0,"Male",41,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",5,1,2,1,"Single house",29,8,2,0,0,1,0
2714,93750,"V - Bicol Region",56328,"Wage/Salaries","0",6170,2284,870,20022,9600,3309,3960,30420,30420,"Male",46,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",20,55,1,1,0,1,0
2715,190460," ARMM",97169,"Enterpreneurial Activities","1",3320,0,790,23400,8400,12280,9068,118400,171460,"Male",45,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,1,0,"Single house",80,15,2,1,0,2,0
2716,181549,"NCR",117064,"Wage/Salaries","0",41240,7811,5600,45360,24000,13704,12724,0,0,"Male",33,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,3,1,"Single house",15,35,0,1,0,0,0
2717,348829,"II - Cagayan Valley",52817,"Enterpreneurial Activities","0",14375,976,1060,26370,18000,47268,4508,0,147070,"Male",59,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,0,3,"Single house",25,28,2,1,0,2,1
2718,33406,"XII - SOCCSKSARGEN",28860,"Wage/Salaries","1",312,1170,620,8130,4200,1500,2322,920,4448,"Male",22,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,1,"Single house",12,5,1,0,0,0,0
2719,204143,"Caraga",48702,"Wage/Salaries","0",5100,130,5460,9810,7200,6513,15484,834,834,"Male",30,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,1,2,1,"Single house",35,4,1,1,0,2,0
2720,161018,"XI - Davao Region",96546,"Wage/Salaries","1",2600,5740,3580,17058,6000,7894,11354,0,49020,"Male",45,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",8,1,3,4,"Single house",15,19,2,0,0,0,0
2721,176207,"I - Ilocos Region",53601,"Other sources of Income","0",6380,0,2505,24300,15000,15680,61970,0,0,"Female",35,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",3,1,1,0,"Single house",75,12,3,1,0,2,0
2722,134257,"V - Bicol Region",82181,"Other sources of Income","0",6880,1546,1215,25200,21000,14067,11470,38712,38712,"Male",46,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",4,0,1,0,"Single house",30,9,1,1,0,1,1
2723,575730,"NCR",216677,"Wage/Salaries","2",59950,15794,19025,135840,102000,74924,38932,0,17000,"Male",34,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,1,2,1,"Single house",120,15,3,1,0,3,0
2724,76212,"Caraga",51857,"Wage/Salaries","0",1300,1420,285,12666,4200,5024,2722,0,0,"Male",59,"Married","No Studies","No Job/Business","No Occupation","Unemployed",4,0,0,2,"Single house",47,8,2,1,0,1,0
2725,250217,"IVA - CALABARZON",125945,"Wage/Salaries","0",35500,10064,10700,32886,15000,15669,15188,0,37820,"Male",63,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",8,1,1,4,"Duplex",30,10,1,1,0,2,0
2726,120825,"V - Bicol Region",55026,"Other sources of Income","0",8805,580,7978,10938,6000,21631,13182,0,0,"Male",47,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",7,1,2,3,"Single house",27,20,1,1,0,1,1
2727,448940,"III - Central Luzon",88891,"Wage/Salaries","0",19500,3116,6990,83358,30000,47650,27024,0,115570,"Male",58,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,0,2,"Single house",100,31,2,1,1,2,0
2728,463400,"NCR",142530,"Wage/Salaries","2",94700,0,4400,71160,0,32786,47970,0,0,"Female",50,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",3,0,0,2,"Multi-unit residential",32,45,1,1,0,2,0
2729,1041600,"NCR",226468,"Wage/Salaries","2",90440,0,26389,117174,66000,285777,165184,0,18100,"Male",53,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,0,2,"Multi-unit residential",80,30,3,1,1,4,0
2730,259774,"II - Cagayan Valley",151479,"Enterpreneurial Activities","1",66770,4700,1825,42102,27000,8712,6104,178584,178584,"Male",40,"Married","Program Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,1,0,"Single house",36,0,2,1,0,2,2
2731,1078000,"NCR",176365,"Enterpreneurial Activities","2",28100,4448,42300,140736,72000,404348,27636,0,988000,"Male",60,"Married","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",200,14,2,1,3,4,0
2732,217279,"II - Cagayan Valley",87428,"Enterpreneurial Activities","1",14160,240,1750,54900,42000,15620,8236,137378,137378,"Male",53,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",6,0,3,2,"Single house",100,8,3,1,0,2,1
2733,423124,"NCR",85563,"Enterpreneurial Activities","2",13500,0,12950,61740,36000,15189,18864,0,246940,"Female",49,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,1,"Multi-unit residential",80,17,2,1,0,3,0
2734,87683,"V - Bicol Region",58034,"Wage/Salaries","0",0,450,2845,5790,1200,6268,4290,0,810,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,1,4,1,"Single house",9,3,1,1,0,2,0
2735,458424,"VI - Western Visayas",94989,"Wage/Salaries","0",20300,0,14377,107250,84000,32164,25868,0,0,"Male",58,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,0,3,"Single house",30,21,3,1,0,0,0
2736,68150,"IVA - CALABARZON",26707,"Other sources of Income","0",0,0,850,25488,21000,4381,2376,12730,12730,"Female",68,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",60,51,2,1,0,0,0
2737,649783,"VI - Western Visayas",217356,"Wage/Salaries","0",23760,270,31381,72210,43200,87096,82810,0,0,"Male",36,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,2,1,2,"Single house",70,22,3,1,0,3,1
2738,29692,"V - Bicol Region",14098,"Other sources of Income","1",1325,450,430,5448,1200,420,732,0,0,"Female",85,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",24,85,2,1,0,0,0
2739,102204,"VI - Western Visayas",70113,"Other sources of Income","0",600,282,1681,18006,7800,12112,4904,0,0,"Male",47,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",10,2,5,3,"Single house",15,16,1,1,0,1,0
2740,85970,"II - Cagayan Valley",46942,"Wage/Salaries","1",6690,6997,2135,25440,15000,3908,7382,0,0,"Male",37,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,1,1,"Single house",54,31,3,1,0,2,0
2741,70202,"IX - Zasmboanga Peninsula",28601,"Other sources of Income","2",0,783,955,11490,6000,1288,2396,0,0,"Male",67,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,1,"Single house",23,25,1,1,0,2,0
2742,95610,"NCR",47599,"Enterpreneurial Activities","2",5350,728,1550,33282,24000,10114,10066,0,59490,"Female",53,"Widowed","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",40,42,1,1,0,0,0
2743,170027,"VIII - Eastern Visayas",90149,"Wage/Salaries","0",1080,3801,2965,28674,9000,11970,15710,0,0,"Male",41,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private household",10,2,3,2,"Single house",43,40,2,1,0,1,0
2744,492114,"II - Cagayan Valley",123683,"Enterpreneurial Activities","1",19800,7546,2075,64206,27000,196714,14758,282074,358164,"Female",50,"Widowed","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",100,13,3,1,0,4,0
2745,66016,"I - Ilocos Region",47746,"Enterpreneurial Activities","1",14525,5714,1430,11346,4800,7529,4596,15924,31724,"Male",37,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,5,2,"Single house",20,12,2,1,0,1,0
2746,155735,"XI - Davao Region",33223,"Other sources of Income","0",16800,6033,3469,22794,21000,41550,9050,0,18320,"Male",69,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",30,27,2,1,0,0,1
2747,170569,"XII - SOCCSKSARGEN",72954,"Other sources of Income","0",1810,23530,1375,13614,3300,3760,4044,15625,31819,"Male",69,"Married","No Studies","No Job/Business","No Occupation","Unemployed",9,2,1,4,"Single house",10,14,1,1,0,2,0
2748,92818,"VII - Central Visayas",28236,"Enterpreneurial Activities","1",86,2200,1550,5748,2400,908,3608,53480,67596,"Male",56,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",5,16,1,0,0,1,0
2749,20453,"IVA - CALABARZON",20012,"Other sources of Income","0",835,1176,310,3594,1200,3374,1038,0,2300,"Male",49,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,1,"Single house",45,9,2,1,0,1,0
2750,247295,"IVA - CALABARZON",100106,"Other sources of Income","0",16530,2040,2230,65682,48000,13592,12344,0,98820,"Male",45,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,3,0,"Single house",80,15,2,1,0,1,1
